question_id,cert_id,subject_id,exam_year,question_type,content,options,answer,analysis,difficulty
q_pharmacist_01,pharmacist_licensed,pharmacist_licensed_yao1,2023,单选,反映药物吸收程度的药代动力学参数是：,"{""A"":""药-时曲线下面积"",""B"":""清除率"",""C"":""消除半衰期"",""D"":""药峰浓度"",""E"":""表观分布容积""}",A,药-时曲线下面积(AUC)反映进入体循环的药量即药物的吸收程度。清除率反映药物消除，半衰期反映消除速度，药峰浓度反映药物峰值，表观分布容积反映药物分布范围。,2
q_pharmacist_02,pharmacist_licensed,pharmacist_licensed_yao1,2018,单选,某药物在体内按一级动力学消除，如果k=0.0346h?1，该药物的消除半衰期约为：,"{""A"":""3.46h"",""B"":""6.92h"",""C"":""12h"",""D"":""20h"",""E"":""24h""}",D,t?/?=0.693/k=0.693/0.0346≈20h。一级动力学消除的半衰期是常数，不受给药剂量和给药途径影响。计算题在药一考试中属于必考题型。,3
q_pharmacist_03,pharmacist_licensed,pharmacist_licensed_yao1,2018,单选,静脉注射某药80mg，初始血药浓度为20μg/ml，则该药的表观分布容积V为：,"{""A"":""0.25L"",""B"":""0.4L"",""C"":""4L"",""D"":""1.6L"",""E"":""16L""}",C,V=X?/C?=80mg/20μg·ml?1=80mg/(0.02mg/ml)=4000ml=4L。注意单位换算：μg→mg的1000倍关系。,3
q_pharmacist_04,pharmacist_licensed,pharmacist_licensed_zhonghe,2023,单选,患者因肺结核服用利福平、乙胺丁醇，近期血压升高。引起血压升高的原因可能是：,"{""A"":""利福平促进了阿替洛尔的肾脏排泄"",""B"":""乙胺丁醇促进了阿替洛尔的肾脏排泄"",""C"":""乙胺丁醇诱导肝药酶促进了氨氯地平的代谢"",""D"":""利福平诱导肝药酶促进了氨氯地平的代谢"",""E"":""利福平与氨氯地平结合成难溶的复合物""}",D,利福平是强CYP3A4诱导剂，氨氯地平经CYP3A4代谢，利福平加速其代谢致血药浓度降低、降压效果减弱。这是典型的药代动力学药物相互作用，临床常见。,4
q_pharmacist_05,pharmacist_licensed,pharmacist_licensed_yao1,2019,单选,根据生物药剂学分类系统，属于第IV类低水溶性、低渗透性的药物是：,"{""A"":""双氯芬酸"",""B"":""吡罗昔康"",""C"":""阿替洛尔"",""D"":""雷尼替丁"",""E"":""酮洛芬""}",E,BCS分类：I类高溶高渗（普萘洛尔）；II类低溶高渗（双氯芬酸/酮洛芬）；III类高溶低渗（阿替洛尔/雷尼替丁）；IV类低溶低渗（呋塞米等）。酮洛芬属于BCS II类但部分教材归IV类，具体以最新教材为准。此题考查BCS分类判断。,4
q_pharmacist_06,pharmacist_licensed,pharmacist_licensed_yao1,2018,单选,属于物理化学靶向制剂的是：,"{""A"":""脑部靶向前体药物"",""B"":""微乳"",""C"":""磁性纳米囊"",""D"":""免疫纳米球"",""E"":""免疫脂质体""}",C,靶向制剂分类：被动靶向（脂质体/微乳/纳米粒）；主动靶向（修饰脂质体/免疫纳米粒/前体药物）；物理化学靶向（磁性/热敏/pH敏感）。脑部靶向前体药物为主动靶向，免疫纳米球/免疫脂质体为主动靶向。,3
q_nle_01,nle,nle_obj1,2024,单选,关于不作为犯，下列哪一说法是正确的？,"{""A"":""不作为犯都是过失犯罪"",""B"":""不作为犯的作为义务来源仅限于法律规定"",""C"":""不作为犯的成立以行为人具有作为义务为前提"",""D"":""不作为犯不可能由故意的心理构成""}",C,不作为犯以作为义务为前提，可以是故意犯罪（如故意不救）。作为义务来源包括法律规定（如父母对子女的抚养义务）、职务要求（如警察/消防员）、先行行为（如带不会游泳者去深水区）。,3
q_nle_02,nle,nle_obj2,2024,单选,甲将一块手表交给乙保管，乙擅自将该手表以合理价格出售给不知情的丙。以下说法正确的是：,"{""A"":""甲可以请求丙返还手表"",""B"":""丙不能取得手表所有权"",""C"":""丙依据善意取得制度取得手表所有权"",""D"":""乙的行为属于无权代理""}",C,乙是保管人构成无权处分，丙不知情+以合理价格购买+已完成交付→善意取得。注意区别于拾得遗失物（不适用善意取得）和委托物（保管/租赁等可适用善意取得）。,3
q_nle_03,nle,nle_obj1,2024,单选,甲以伤害故意对乙实施暴力，造成乙重伤后，甲心生怜悯将乙送医，乙经抢救无效死亡。对甲的行为应按何罪论处？,"{""A"":""故意伤害致人死亡"",""B"":""故意杀人罪"",""C"":""过失致人死亡罪"",""D"":""故意伤害罪(重伤)""}",A,甲有伤害故意且造成重伤结果，送医行为可作为酌定量刑情节但不改变定性。伤害行为与死亡结果有因果关系→故意伤害致人死亡。若甲故意杀人则另当别论；本题只有伤害故意，故定故意伤害致人死亡。,4
q_nle_04,nle,nle_obj2,2023,单选,下列关于债权人代位权的表述正确的是：,"{""A"":""代位权只能通过诉讼方式行使"",""B"":""代位权的客体限于金钱债权"",""C"":""债权人行使代位权需以对债务人取得胜诉判决为前提"",""D"":""代位权诉讼中次债务人对债务人的抗辩可以向债权人主张""}",D,次债务人对债务人的抗辩可以向债权人主张。A错误：代位权只能通过诉讼。B错误：客体不限于金钱。C错误：无需先对债务人取得胜诉判决。民法典第535条。,4
q_nle_05,nle,nle_obj1,2023,多选,下列哪些情形属于正当防卫？,"{""A"":""甲遭乙持刀抢劫，甲反击致乙重伤"",""B"":""甲遭乙殴打后次日持刀回击乙"",""C"":""甲发现乙正在行窃，上前制止时将其打伤"",""D"":""甲以为乙要伤害自己，持棍将乙打伤，实际上乙是来借钱的""}",AC,A属于对正在进行的严重暴力犯罪的防卫（特殊防卫）。B不属正当防卫（不法侵害已结束属事后防卫）。C属正当防卫（制止正在进行的不法侵害）。D属假想防卫（不存在现实的不法侵害）。,3
q_weisheng_01,physician_title,physician_title_jichu,2025,单选,贫血时机体的代偿现象，下列哪项不符合？,"{""A"":""心率加快"",""B"":""呼吸加深加快"",""C"":""红细胞内2,3-二磷酸甘油酸浓度降低"",""D"":""红细胞生成素增加"",""E"":""组织摄氧量增加""}",C,贫血时红细胞内23-DPG浓度增高（非降低），使氧解离曲线右移促进组织摄氧→这是代偿机制之一。心率加快、呼吸加深、EPO增加均为贫血代偿表现。,2
q_weisheng_02,physician_title,physician_title_xiangguan,2025,单选,出血性中风与缺血性中风最有鉴别价值的辅助检查为：,"{""A"":""脑血管造影"",""B"":""头颅CT"",""C"":""腰穿"",""D"":""TCD"",""E"":""SPECT""}",B,头颅CT平扫：出血性中风立即显影为高密度灶，缺血性中风早期可正常或低密度灶→是鉴别两种中风的"金标准"。脑血管造影主要用于动脉瘤/AVM诊断，腰穿一般不用于鉴别。,2
q_weisheng_03,physician_title,physician_title_jichu,2025,单选,一侧瞳孔直接对光反射消失，间接对光反射存在，病变在：,"{""A"":""同侧视神经"",""B"":""同侧动眼神经"",""C"":""对侧视神经"",""D"":""对侧动眼神经"",""E"":""视交叉""}",A,直接对光反射通路：视网膜→视神经→中脑顶盖前区→双侧E-W核→动眼神经。直接消失+间接存在→传入通路（同侧视神经）受损，传出通路（动眼神经）正常。,4
q_weisheng_04,physician_title,physician_title_zhuanye,2025,案例,男性50岁抽烟30年，右胸痛2个月，有时痰中带血，胸片示右上肺肿块阴影，血CEA 105ng/ml。该例最可能的诊断是：,"{""A"":""肺炎球菌肺炎"",""B"":""浸润性肺结核"",""C"":""肺真菌病"",""D"":""支气管肺癌"",""E"":""支原体肺炎""}",D,长期吸烟史+痰中带血+右上肺肿块+CEA显著升高(正常<5ng/ml)→支气管肺癌。CEA是小细胞肺癌和非小细胞肺癌均有不同程度升高的肿瘤标志物。TB无CEA升高，肺炎球菌肺炎急性起病高热。,2
q_weisheng_05,physician_title,physician_title_shijian,2025,案例,68岁男性反复咳喘20余年加重4天嗜睡1天。查体：球结膜水肿皮肤温暖红润，双肺干湿啰音，双侧腱反射减弱。其神志障碍最可能原因为：,"{""A"":""脑血管意外"",""B"":""严重低钠血症"",""C"":""中枢神经系统感染"",""D"":""CO?潴留引起的肺性脑病"",""E"":""感染中毒性脑病""}",D,COPD基础上急性加重+嗜睡+球结膜水肿+口唇发绀→CO?潴留→肺性脑病。皮肤温暖红润为CO?潴留的血管扩张效应（非休克），腱反射减弱也符合CO?对神经系统的抑制。,4
